epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7862,2.41202,3.52624,1.43505,0.45513,0.17254,0.12575,0.0644,1.96521,2.41603,1.28192,0.000174533,0.000174533,0.000174533
2,100.148,1.91287,2.14105,1.19136,0.59618,0.3453,0.32603,0.18614,1.66851,1.59471,1.17969,0.000342939,0.000342939,0.000342939
3,142.67,1.77266,1.67112,1.15375,0.60224,0.39339,0.42013,0.24522,1.56981,1.38068,1.16482,0.000504401,0.000504401,0.000504401
4,184.065,1.73596,1.5263,1.14109,0.54163,0.46093,0.46712,0.24544,1.64744,1.32272,1.15346,0.000494756,0.000494756,0.000494756
5,225.755,1.66655,1.41362,1.11601,0.58646,0.54031,0.54384,0.31588,1.49511,1.23092,1.12176,0.000484341,0.000484341,0.000484341
6,266.587,1.6328,1.32825,1.10596,0.69628,0.57896,0.61125,0.35786,1.47097,1.13468,1.1192,0.000473926,0.000473926,0.000473926
7,308.707,1.60637,1.27533,1.09456,0.69746,0.60939,0.64686,0.37481,1.45704,1.09818,1.10259,0.000463511,0.000463511,0.000463511
8,349.121,1.60772,1.21997,1.08766,0.70791,0.63341,0.67266,0.3927,1.45528,1.08796,1.11367,0.000453096,0.000453096,0.000453096
9,395.692,1.56515,1.17598,1.07969,0.76222,0.65438,0.70261,0.40851,1.44127,1.03056,1.10294,0.000442682,0.000442682,0.000442682
10,443.103,1.55229,1.15913,1.07313,0.71772,0.68177,0.71461,0.41999,1.41268,0.99201,1.09285,0.000432267,0.000432267,0.000432267
11,491.837,1.52692,1.11121,1.06491,0.80378,0.71468,0.76109,0.43877,1.42161,0.95685,1.09692,0.000421852,0.000421852,0.000421852
12,540.033,1.54138,1.11884,1.07346,0.81407,0.71433,0.76524,0.44668,1.38599,0.91825,1.08956,0.000411437,0.000411437,0.000411437
13,590.674,1.5294,1.10579,1.07621,0.80126,0.72528,0.76038,0.44766,1.3895,0.94096,1.09152,0.000401022,0.000401022,0.000401022
14,637.302,1.51617,1.0899,1.07325,0.83548,0.69878,0.75674,0.45224,1.3591,0.90078,1.0788,0.000390608,0.000390608,0.000390608
